ID,TEXT,SOURCE,INTENCAO
11,bens e serviços comuns,search log,"O usuário deseja compreender a definição de bens e serviços comuns no contexto de licitações públicas, especificamente para a modalidade pregão. Os resultados devem explicar que a caracterização de um bem ou serviço como comum não depende de sua complexidade, mas sim da possibilidade de objetivamente definir seus padrões de desempenho e qualidade através de especificações usualmente encontradas no mercado. Isso inclui bens e serviços de informática. O foco deve ser na definição e nos critérios que qualificam algo como comum para fins de licitação via pregão."
12,parcelas de maior relevância e valor significativo,search log,"O usuário busca informações sobre a exigência de comprovação de capacidade técnica em licitações, especificamente quando essa exigência deve se limitar às parcelas do objeto licitado que sejam de maior relevância técnica e de valor mais significativo. Os resultados devem abranger a definição do que constitui essas parcelas de maior relevância e valor, as condições sob as quais tal limitação é aplicável, e a importância de que essa exigência seja objetiva e proporcional à dimensão e complexidade do objeto a ser executado. Também é relevante abordar a vedação de alterações desses critérios durante a licitação e a necessidade de que tais requisitos sejam tecnicamente demonstrados. A comprovação deve ser cumulativa em relevância, valor e indispensabilidade para o cumprimento das obrigações."
13,despesa sem cobertura contratual,search log,"O usuário busca informações sobre despesas realizadas sem cobertura contratual. Isso inclui a identificação de situações onde pagamentos são feitos antes da assinatura de contratos, ou para serviços novos não previstos no projeto original sem a devida formalização. A resposta deve cobrir as consequências dessas despesas, como a irregularidade grave, a aplicação de multas aos responsáveis, e o julgamento pela irregularidade das contas. Também deve abordar a necessidade de verificar a conformidade de valores, a apresentação de documentos fiscais e o atesto de serviços prestados em casos de reconhecimento de dívida sem cobertura contratual válida. Deve-se mencionar que a formalização posterior do contrato não anula a ilegalidade da contratação verbal ou dos pagamentos antecipados. Por fim, é relevante informar que a aquisição de bens e serviços sem amparo contratual pode acarretar multas e que existem exceções para compras de pronto pagamento em valores limitados e com adiantamento, conforme a legislação que rege contratos verbais."
14,decreto-lei 4.657/1942,search log,"O usuário busca compreender o conceito de erro grosseiro e suas aplicações, especialmente no contexto da Lei de Introdução às Normas do Direito Brasileiro (LINDB). Os resultados devem abordar as situações em que a execução de objetos conveniados em desacordo com planos de trabalho aprovados, a elaboração de documentos sem justificativas de quantitativos, a realização de pagamentos antecipados sem justificativa de interesse público e sem garantias, e a contratação indiscriminada de comissionados para atividades rotineiras, podem ser caracterizados como erro grosseiro. É importante que os resultados esclareçam que este conceito se aplica à responsabilização perante o Tribunal de Contas da União (TCU) e ao exercício do poder sancionatório do TCU, mas que o particular contratado pela Administração Pública não se enquadra nessa definição específica para fins de sanções. Além disso, os resultados devem distinguir a aplicação do erro grosseiro para sanções da exigência de comprovação de dolo ou culpa para o dever de indenizar prejuízos ao erário."
15,contas e materialidade,search log,"O usuário busca compreender como a baixa materialidade de um débito afeta o julgamento de contas, especialmente em relação ao arquivamento de processos e à quitação dos responsáveis. Os resultados devem abordar se a baixa materialidade, por si só, justifica o arquivamento de uma tomada de contas especial (TCE), considerando a racionalidade administrativa e a economia processual, especialmente quando o processo já avançou significativamente. Além disso, deve esclarecer em quais circunstâncias a baixa materialidade, combinada com a ausência de outras irregularidades, permite o julgamento das contas pela regularidade com ressalvas e a subsequente quitação. É importante também detalhar a possibilidade de arquivamento sem cancelamento do débito, mantendo a obrigação de pagamento para futura quitação, quando o custo do processo excede seus benefícios."
16,inexequibilidade e comprovação,search log,"O usuário deseja informações sobre como a inexequibilidade de propostas em licitações é tratada, especificamente a necessidade de comprovação por parte do licitante e a obrigatoriedade da Administração em permitir essa comprovação antes da desclassificação. Os resultados devem abordar a presunção relativa de inexequibilidade, a importância de critérios objetivos e claros para a aceitabilidade de preços, e a necessidade de dar ao licitante a oportunidade de demonstrar a exequibilidade da sua proposta. Além disso, deve ficar claro que a desclassificação por inexequibilidade precisa ser objetivamente demonstrada com base em critérios publicados, e que o licitante deve ter a chance de defender sua proposta e provar sua capacidade de execução antes da desclassificação."
17,impedimento de licitar e contratar,search log,"O usuário busca informações sobre a penalidade de impedimento de licitar e contratar com a Administração Pública. Os resultados devem abranger a extensão dessa sanção em toda a Administração Pública, comparando-a com outras penalidades como a suspensão temporária e a declaração de inidoneidade, para que o usuário compreenda o escopo e a gravidade do impedimento de contratar e licitar."
18,aditivo e obra,search log,"O usuário deseja informações sobre a necessidade de celebração de termos aditivos em contratos de obras públicas, especialmente em relação à antecipação de prazos, ajustes orçamentários, adequação de cronogramas físico-financeiros, modificações em projetos e planilhas de quantitativos. Também busca entender as condições para a majoração de quantitativos, respeito aos preços de mercado e preservação do equilíbrio econômico-financeiro. É importante cobrir as situações em que aditivos são necessários devido a alterações no projeto, as que não exigem aditivo por não impactarem quantitativos, especificações ou dimensionamento, e as que requerem análise de planilhas e confrontos de valores antes e depois do aditivo, inclusive a possibilidade de inclusão de parcela compensatória negativa em caso de diminuição de desconto original."
19,fraude a licitacao,search log,"O usuário busca informações sobre o que configura fraude à licitação. Os resultados devem abranger práticas como depósitos entre licitantes, uso de documentos falsos, convites a empresas inexistentes ou sem estrutura, participação indevida de empresas como micro ou pequenas empresas com faturamento acima do limite legal, empresas com sócios em outras não beneficiadas, direcionamento de convites, coincidência de sócios em empresas participantes, fracionamento de despesas para evitar licitação, representação de licitantes pelo mesmo procurador com parentesco com gestor público, e o uso de prova indiciária como indícios somados para caracterizar a fraude. Deve ser abordado que tais condutas resultam na declaração de inidoneidade das empresas para licitar com a Administração Pública (Federal, estadual ou municipal com recursos federais), e na aplicação de sanções aos gestores. A perda da condição de micro ou pequena empresa por faturamento superior ao limite é responsabilidade da própria sociedade empresarial."
20,auditoria interna,search log,"O usuário busca entender o que são e quais são as funções dos órgãos de controle interno ou auditoria interna no contexto do sistema de controle dos poderes da União e do Sistema S. Isso inclui as atividades que eles realizam, como o exame de demonstrações financeiras para o Balanço Geral da União, o apoio ao TCU na formação de parecer sobre contas do governo federal, e a realização de auditorias contábeis e financeiras em responsáveis sob jurisdição do Controle Externo. Além disso, o usuário deseja saber sobre a vinculação da unidade de auditoria interna à instância de deliberações finais e a obrigatoriedade de anexar relatórios e pareceres da unidade de auditoria interna aos processos de contas anuais de entidades do Sistema S, quando estas possuem tal unidade em sua estrutura."
21,fracionamento de despesas,search log,"O usuário busca entender as regras e implicações do fracionamento de despesas no contexto de licitações públicas. Os resultados devem explicar que o fracionamento de despesas com obras e serviços de mesma natureza e local, que poderiam ser realizados conjuntamente, é irregular, pois burla a modalidade de licitação adequada. Deve-se abordar a gravidade dessa irregularidade, que pode levar a multas para os responsáveis, e como o fracionamento restringe a competição. As respostas devem cobrir a orientação para que a Administração evite fracionar despesas com aquisições frequentes dos mesmos produtos ou serviços sistemáticos em processos distintos, especialmente quando o valor total ultrapassa o limite para dispensa de licitação. É importante esclarecer que o fracionamento deliberado para evitar o procedimento licitatório correto é ilegal e que, mesmo que o valor fracionado esteja dentro do limite de dispensa, a intenção de fugir ao processo licitatório pode acarretar multas. Em suma, os resultados devem orientar sobre a ilegalidade e as consequências do fracionamento de despesas com o intuito de burlar as normas de licitação, enfatizando a necessidade de procedimentos licitatórios compatíveis com o valor total das contratações."
22,novo e improrrogável prazo,search log,"O usuário busca informações sobre a fixação de um novo e improrrogável prazo para o recolhimento de débitos. As situações que levam a essa possibilidade incluem a aplicação analógica de leis em casos de circunstâncias práticas que condicionaram a ação do responsável, mesmo sem o reconhecimento da boa-fé, desde que não haja outras irregularidades. A dúvida razoável de interpretação que induza à boa-fé ou a equívocos de entendimento também justifica a concessão desse novo prazo. A impossibilidade de aferir a boa-fé de um ente público, mesmo com a defesa rejeitada, é outra condição. Em processos de contas, quando há débito imputável a um município ou ente federado, a fixação desse prazo é cabível, inclusive em casos de revelia ou rejeição da defesa. O reconhecimento da boa-fé em recurso de reconsideração pode levar à desconstituição do acórdão e à concessão de um novo prazo sem incidência de juros. Por fim, a presunção de boa-fé de pessoas jurídicas de direito público leva à abertura desse novo prazo mesmo em caso de revelia, pois a apresentação de defesa é vista como um ônus processual."
23,inidoneidade de licitante,search log,"O usuário deseja informações sobre a declaração de inidoneidade de licitante. Os resultados devem cobrir as condições sob as quais essa sanção pode ser aplicada, incluindo a participação em conluio ou fraude no processo licitatório, mesmo que a empresa não tenha obtido benefício direto ou causado prejuízo ao erário. Devem também abranger situações em que a empresa participa da licitação com o intuito de fraudá-la, como o oferecimento de propostas para subsidiar pesquisas de preços viciadas ou a abstenção de apresentar proposta para beneficiar terceiros, configurando conduta omissiva com objetivo de interferir ilicitamente no certame. A aplicação da inidoneidade independe da obtenção de vantagem indevida ou de prejuízo ao erário, bastando a constatação de fraude ou fortes indícios de conluio entre os participantes."
24,licitações e contratos,search log,"O usuário busca informações sobre licitações e contratos, incluindo quando a formalização de um contrato é necessária (para tomadas de preços, concorrências, dispensas/inexigibilidades de licitação dentro de certos limites de valor, e contratações com obrigações futuras). Também deseja saber sobre restrições em editais e contratos, como a proibição de incluir obrigações alheias à relação jurídica principal. Além disso, procura detalhes sobre requisitos e regras específicas para licitações, como a ilegalidade de exigir representação local para prestação de serviços de manutenção, a necessidade de aprovação de projeto básico por órgãos específicos em licitações com recursos federais repassados, e regras aplicáveis a licitações de bens e serviços comuns de informática e automação sob a modalidade pregão, incluindo a aplicação de regras de preferência. Há também uma menção sobre a observância de leis específicas e princípios da Administração Pública por empresas estatais e sociedades de economia mista na ausência de legislação própria legislação."
25,exigência de atestado de capacidade,search log,"O usuário busca informações sobre a exigência de atestados de capacidade técnica em licitações. Os resultados devem cobrir as condições em que essa exigência é permitida, quando ela é considerada irregular ou restritiva (como quantitativos superiores aos do contrato ou número mínimo excessivo de atestados), e as exceções a essas regras. É importante que os documentos expliquem que a exigência deve ser fundamentada na relevância do item para o empreendimento, na sua não usualidade, ou em peculiaridades da legislação nacional, e que a comprovação pode se limitar às parcelas de maior relevância do objeto. A justificativa para requisitos mais rigorosos, especialmente em relação a quantitativos, deve ser explicitada e deve evitar a restrição indevida da competitividade do certame."
26,contrato com a administração pública,search log,"O usuário deseja informações sobre contratos com a administração pública. Os resultados devem cobrir a necessidade de demonstração de regularidade fiscal e com o FGTS por parte dos contratados e de suas controladoras. Devem também abordar a nulidade de contratos verbais com a administração, com exceção de pequenas compras de pronto pagamento de até um determinado valor, e a impossibilidade de ajustes verbais ou prorrogações automáticas por prazo indeterminado em contratos de locação onde a administração é locatária. Além disso, é importante que os resultados expliquem que as empresas contratadas devem ofertar preços compatíveis com os de mercado para evitar responsabilidade por sobrepreço e que a ausência da composição detalhada de custos unitários, do BDI e dos encargos sociais é irregular, pois impede a análise dos critérios de formação de preço e do orçamento."
27,inexigibilidade e singularidade,search log,"O usuário busca entender o conceito de singularidade em licitações por inexigibilidade, distinguindo-o de unicidade, exclusividade, ineditismo ou raridade. Os resultados devem explicar que a singularidade, juntamente com a notória especialização do contratado e a inviabilidade de competição (fática e jurídica), são requisitos essenciais para a inexigibilidade. Deve-se abordar que a singularidade se refere a características incomuns ou inéditas do objeto, e que a escolha do contratado em tais casos envolve avaliação subjetiva devido à especialização técnica profissional. É importante destacar que o fato de o objeto poder ser executado por outros não impede a inexigibilidade, desde que haja impossibilidade de fixar critérios objetivos de julgamento ou inviabilidade de competição."
28,mera participação e epp,search log,"O usuário busca informações sobre a participação de empresas que não se enquadram como microempresas (ME) ou empresas de pequeno porte (EPP) em licitações destinadas exclusivamente a essas categorias. O resultado deve esclarecer que essa participação configura fraude ao certame, enfatizando que a responsabilidade pela veracidade das declarações de enquadramento é exclusivamente das empresas licitantes."
29,decisão judicial,search log,"O usuário busca informações sobre a validade e o alcance das decisões judiciais em relação às decisões do TCU, especificamente sobre como as decisões judiciais afetam a apreciação de mérito de atos de concessão pelo TCU, a expedição de determinações que impactam pagamentos a inativos e pensionistas, e a possibilidade de o TCU discordar do Poder Judiciário em certas apreciações. O usuário também quer saber sobre a incorporação de valores decorrentes de decisões judiciais em proventos de inatividade ou pensão, se esses valores são imunes a aumentos salariais subsequentes e como o TCU lida com a manutenção de parcelas relativas a planos econômicos baseadas em decisões judiciais, mesmo quando contrárias ao entendimento do TCU."
30,fiscal de contrato,search log,"O usuário deseja entender as responsabilidades, deveres e a potencial responsabilização do fiscal de contrato. Isso inclui a omissão na adoção de medidas para o andamento normal de um empreendimento, a execução de atribuições por força do cargo ou contrato, a falta de responsabilidade do gestor ou secretário em caso de fiscal capacitado, a necessidade de notificar superiores sobre alterações contratuais e aditivos, a comunicação sobre falta de conhecimento técnico e os riscos de prejuízo ao erário, a isenção de responsabilidade quando não há condições apropriadas para o desempenho das funções, a consideração de obstáculos e dificuldades reais na gestão pública, e a obrigação de registrar ocorrências relevantes e a aplicação de sanções administrativas quando necessário."
31,medida cautelar,search log,"O usuário deseja localizar informações sobre o que constitui uma medida cautelar, seus requisitos para concessão, suas características e finalidades. Os resultados devem cobrir a natureza precária das cautelares, o fato de que não exigem cognição exaustiva e não condicionam a decisão definitiva. Devem explicar que o exame da matéria é sumário, focando na plausibilidade do direito (fumus boni iuris) e na urgência (periculum in mora). O objetivo da medida é resguardar o erário de lesão iminente e irreparável ou garantir a eficácia futura de uma deliberação de mérito, verificando provável afronta à legislação que gere prejuízo à fazenda pública ou à efetividade do processo. É importante que os resultados abordem a possibilidade de adoção de cautelar para impedir pagamentos indevidos quando ausente o periculum in mora reverso. Devem também esclarecer que a conveniência e oportunidade da medida devem ser avaliadas pelo risco de prejuízo à Administração, não apenas por irregularidades que afetem licitantes mas não o interesse público relevante. Além disso, os resultados devem mencionar a possibilidade de interposição de agravo contra despachos desfavoráveis ou contra a própria medida cautelar."
32,é possível a aplicação concomitante,search log,"O usuário deseja saber se é possível aplicar multas de forma conjunta e em quais circunstâncias isso é permitido. Os documentos indicam que a aplicação concomitante de multas é possível, especialmente quando as irregularidades que motivam cada multa são distintas. Isso pode ocorrer mesmo ao mesmo responsável e no mesmo processo, por exemplo, quando uma multa está ligada a um débito específico e a outra a irregularidades gerais. Também é abordada a não ocorrência de 'bis in idem' em casos de multas com naturezas distintas."
33,reajuste de contrato,search log,"O usuário busca entender o conceito de reajuste de contrato, seus objetivos de compensar a desvalorização da moeda e corrigir distorções por eventos imprevisíveis ou previsíveis com consequências inestimáveis. É fundamental que os resultados expliquem os critérios de reajuste, sua definição clara no edital e no contrato, a obrigatoriedade de sua previsão e a impossibilidade de discricionariedade do gestor. Os documentos devem abordar a periodicidade do reajuste anual, os possíveis termos iniciais para contagem (data-limite da proposta ou data do orçamento), e a permissão de uso de índices para contratos de serviços continuados sem prevalência de mão de obra. Além disso, é importante que se diferencie reajuste de reequilíbrio econômico e repactuação, detalhando que o reajuste repõe a perda do poder aquisitivo, o reequilíbrio restabelece a relação original por álea extraordinária, e a repactuação ajusta custos variáveis em serviços contínuos com base em planilhas. A ausência de cláusula de reajuste não impede o reequilíbrio, evitando enriquecimento ilícito e violação da boa-fé. A previsão de reajuste não deve indicar negociação entre as partes."
34,publicidade e concurso público,search log,"O usuário busca informações sobre a necessidade de publicidade em concursos públicos, especificamente sobre a divulgação de resultados de provas e notas de candidatos, com menção à publicação no Diário Oficial da União."
35,falecimento e multa,search log,"O usuário busca entender as consequências legais e a aplicabilidade de multas em casos de falecimento do responsável. Os resultados devem abordar se a multa pode ser aplicada ou cobrada após o falecimento, diferenciando situações como o falecimento antes ou depois da prolação do acórdão condenatório e do trânsito em julgado. É importante esclarecer que a multa, por ter caráter personalíssimo, não se transfere aos sucessores se o falecimento ocorrer antes de se tornar uma dívida patrimonial consolidada (após trânsito em julgado). No entanto, se a multa já se consolidou como dívida patrimonial antes do falecimento (após trânsito em julgado), ela pode ser cobrada do espólio ou dos sucessores, limitada ao valor do patrimônio transferido. O falecimento antes do acórdão condenatório impede a aplicação da multa, extinguindo a punibilidade, mas não impede a responsabilização dos sucessores por débitos, até o limite do patrimônio herdado."
36,independência das instâncias,search log,"O usuário busca entender o princípio da independência das instâncias no contexto jurídico brasileiro, especificamente como ele se aplica aos processos de controle externo, cível, criminal e administrativo. A necessidade de informação deve abranger a autonomia decisória de cada instância (como o TCU), a possibilidade de condenações simultâneas em diferentes esferas, e as exceções a esse princípio. As exceções relevantes incluem sentenças criminais absolutórias que neguem a existência do fato ou a autoria, as quais podem impactar outras instâncias, enquanto ações civis geralmente não se comunicam com as demais. A resposta deve esclarecer que a ação por improbidade administrativa (civil) não vincula a decisão administrativa e que apenas sentenças criminais transitadas em julgado com reconhecimento de inexistência material do fato ou negativa de autoria podem repercutir no âmbito administrativo do TCU, afastando sanções. É importante também cobrir que a existência de processos com o mesmo objeto em diferentes esferas não configura bis in idem ou litispendência devido a essa independência, e que o recolhimento do débito em um processo sana a dívida."
37,planejamento estratégico,search log,"O usuário busca informações sobre o conceito e a aplicação de planejamento estratégico, incluindo seus objetivos, metodologias, benefícios e desafios, no contexto jurídico ou empresarial. A intenção é entender como desenvolver e implementar um plano estratégico eficaz para alcançar metas organizacionais, possivelmente abordando a importância da análise de cenários, definição de visão, missão e valores, estabelecimento de objetivos claros e mensuráveis, e a criação de planos de ação detalhados. Deve abranger a forma como o planejamento estratégico pode auxiliar na tomada de decisões, otimização de recursos e adaptação a mudanças de mercado ou regulatórias."
38,sistema s e licitação,search log,"O usuário busca informações sobre a participação de entidades do Sistema S em licitações públicas. Os resultados devem abordar quais são as condições para essa participação (desempenho de atividade dentro das finalidades institucionais), as regras específicas que devem ser seguidas nos editais (exigências de habilitação jurídica, técnica, econômico-financeira e fiscal, com possibilidade de dispensa parcial fundamentada), a relação com o estatuto de licitações e contratos (não obrigação de seguir rigorosamente, mas observância dos princípios constitucionais e liberdade procedimental para regulamentos internos), e a obrigatoriedade de incluir o orçamento estimado ou informação sobre sua disponibilidade. É importante também mencionar que não é cabível a equalização artificial de propostas para compensar benefícios fiscais."
39,citação e validade,search log,"O usuário deseja entender as condições que tornam uma citação juridicamente válida, especialmente no contexto do Tribunal de Contas da União (TCU). Os resultados devem abordar a interrupção da prescrição pela citação válida, a validade da citação por edital quando providências anteriores para localizar o responsável foram tomadas (como correspondências a endereços informados ou pesquisas em bases de dados), e a validade da citação independentemente da assinatura do responsável no Aviso de Recebimento (AR), se as normas não exigirem isso. Também deve cobrir a validade da citação por edital quando não for possível localizar o responsável em bases de dados, e como a citação válida supre a ausência de notificação para apresentação de defesa. É importante destacar que a entrega pessoal ao destinatário não é obrigatória para a validade, bastando o recebimento do ofício com AR no endereço do responsável obtido em fonte oficial, como a Receita Federal."
40,multa a particulares,search log,"O usuário busca informações sobre a aplicação de multas a particulares. A necessidade de informação abrange as condições sob as quais uma multa pode ser aplicada a um indivíduo ou entidade privada. Especificamente, o usuário deseja saber se a responsabilidade por dano ao erário é um requisito para a aplicação da multa, independentemente de o dano ter ocorrido no exercício de uma função pública. Os resultados devem cobrir quando entidades privadas são penalizadas com multa, focando na responsabilidade por dano ao erário como critério principal."
41,licitação e preço de mercado,search log,"O usuário busca informações sobre a relação entre licitação e preço de mercado. Especificamente, ele quer entender a obrigatoriedade e a forma como a pesquisa de preços de mercado deve ser realizada no contexto de processos licitatórios. Isso inclui saber que a pesquisa de mercado é um instrumento indispensável para avaliar a razoabilidade dos lances e estimar o custo do objeto a ser adquirido, devendo ser anexada ao processo licitatório. Os resultados devem abordar a obrigação dos licitantes de oferecer preços que reflitam o mercado, sob risco de superfaturamento, mesmo que os valores base da Administração sejam superiores. Deve-se também incluir a necessidade de a Administração realizar pesquisa de mercado prévia e periodicamente, considerando quantitativos, para verificar a aceitabilidade dos preços. Além disso, é importante mencionar que a fixação de valores de referência deve contemplar pesquisas de mercado e preços de outros órgãos públicos. Por fim, a consulta a preços correntes de mercado, órgãos oficiais ou sistemas de registro de preços é obrigatória, e a ausência dessa pesquisa configura descumprimento legal."
42,edital modificação,search log,"O usuário busca informações sobre as consequências da modificação de um edital, especificamente sobre a necessidade de reabertura de prazos e republicação do instrumento convocatório em caso de alterações que afetem as propostas dos licitantes ou o planejamento das empresas interessadas. Os resultados devem cobrir as condições sob as quais os prazos devem ser reabertos (acréscimo, alteração ou supressão de cláusulas, divulgação de retificações ou interpretações) e o impacto dessas modificações no caráter competitivo do certame."
43,padronização marca,search log,"O usuário busca informações sobre a padronização de marcas em processos de aquisição e licitação. Os resultados devem abordar as condições sob as quais a indicação de uma marca específica é permitida, enfatizando que tal opção deve ser fundamentada em critérios objetivos, estudos técnicos, laudos, perícias e pareceres que demonstrem vantagens econômicas e o interesse público. Deve-se explicar a necessidade de comprovação inequívoca de que marcas similares não possuem qualidade equivalente ou que somente a marca escolhida atende às necessidades específicas da Administração. Além disso, os resultados devem cobrir a possibilidade de indicação de marca quando estritamente necessária para atender exigências de padronização e uniformização, sempre mediante justificativa prévia e motivação circunstanciada, e como isso se alinha ao princípio da padronização, podendo ser aceita em licitações, inclusive para softwares."
44,interesse recíproco,search log,"O usuário busca entender o conceito de 'interesse recíproco' no contexto jurídico, especificamente em relação à formação de convênios e acordos de cooperação. Os resultados devem explicar que o interesse recíproco é uma condição essencial para a formação desses instrumentos, significando que o objeto ou resultado pretendido deve ser usufruído por todas as partes envolvidas. Deve-se detalhar que a ausência desse interesse torna indevida a celebração de um convênio, especialmente quando uma parte busca o objeto (obra, serviço) e a outra busca uma contraprestação (preço, vantagem), configurando irregularidade. Os resultados também devem abranger que, na ausência de interesses recíprocos na consecução do objeto, um convênio não é cabível. O instituto do convênio pressupõe interesses comuns e mútua cooperação, sem que haja previsão de lucro para uma parte ou prestação de serviço mediante pagamento. É importante esclarecer que, em alguns casos específicos, como convênios com patrocinadores sem fins lucrativos, o interesse recíproco e a mútua cooperação estão presentes, mas com restrições, como a vedação de pagamento de taxa de administração. Por fim, os resultados devem distinguir o convênio do acordo de cooperação, indicando que este último é o instrumento jurídico adequado para a realização de projetos entre órgãos sem personalidade jurídica própria, quando há interesse recíproco em regime de mútua cooperação."
